ticker,source,theme,theme_rotation_score,rotation_leader_score,rotation_leader,broad_breakout_score,last,day_change_pct,move_30m_pct,intraday_volume,rel_vs_spy_pct,broad_rvol,last_bar_et
GEMI,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,5.74,29.42,1.68,7872385.0,29.67,4.64,2026-09-18T15:35:00-04:00
SECZ,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,10.45,16.83,2.4,6164099.0,17.07,1.73,2026-09-18T15:35:00-04:00
ABTC,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,10.27,16.51,0.98,3433357.0,16.75,3.04,2026-09-18T15:30:00-04:00
MSTR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,152.77,15.49,0.24,38419238.0,15.74,2.43,2026-09-18T15:30:00-04:00
MARA,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,13.27,13.81,0.8,67656434.0,14.06,1.31,2026-09-18T15:30:00-04:00
BTDR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,12.74,13.29,0.51,9657112.0,13.54,1.7,2026-09-18T15:30:00-04:00
SBET,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,9.28,12.41,1.03,10598860.0,12.66,1.69,2026-09-18T15:30:00-04:00
COIN,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,194.78,11.95,0.19,17204822.0,12.2,1.82,2026-09-18T15:30:00-04:00
BMNR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,26.18,9.63,0.1,43008007.0,9.88,1.3,2026-09-18T15:30:00-04:00
BTBT,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,1.68,9.52,1.27,27017311.0,9.76,1.46,2026-09-18T15:30:00-04:00
PURR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,99.3,True,99.3,13.98,9.04,0.29,28583284.0,9.29,1.59,2026-09-18T15:30:00-04:00
HOOD,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,97.8,True,97.8,119.62,8.94,0.22,30127330.0,9.18,1.39,2026-09-18T15:30:00-04:00
SNDK,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,93.5,True,93.5,1738.36,7.68,0.09,11202191.0,7.93,1.66,2026-09-18T15:30:00-04:00
ASST,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,88.6,True,88.6,30.19,6.79,0.12,11069594.0,7.04,1.49,2026-09-18T15:30:00-04:00
STX,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,87.7,True,87.7,856.11,6.6,0.01,3362251.0,6.84,1.49,2026-09-18T15:30:00-04:00
CLSK,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,86.3,True,86.3,14.36,7.53,0.0,18803760.0,7.77,1.36,2026-09-18T15:30:00-04:00
HALO,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,85.2,True,85.2,112.06,2.13,0.08,7790567.0,2.38,6.69,2026-09-18T15:30:00-04:00
ONTO,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,77.5,True,77.5,260.75,4.29,0.42,590964.0,4.53,1.51,2026-09-18T15:30:00-04:00
FORM,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,75.6,True,75.6,116.31,4.13,0.51,881547.0,4.37,1.28,2026-09-18T15:30:00-04:00
SG,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,74.6,True,74.6,7.18,5.04,-0.69,3118005.0,5.29,1.25,2026-09-18T15:35:00-04:00
ATI,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,70.8,True,70.8,188.97,2.91,0.16,1529947.0,3.16,1.41,2026-09-18T15:35:00-04:00
MU,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,66.2,True,66.2,1007.21,3.04,-0.06,24010018.0,3.28,1.39,2026-09-18T15:30:00-04:00
KLAC,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,65.5,True,65.5,173.88,2.89,-0.07,6187992.0,3.14,1.37,2026-09-18T15:35:00-04:00
