ticker,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,avg_share_volume20,median_dollar_volume20,adr20_pct,liquidity_gate_passed,volatility_gate_passed,company_name,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,order_flow_mode,order_flow_score,order_flow_state,buy_pressure_pct,sell_pressure_pct,signed_volume_proxy,volume_imbalance_proxy,close_location_value,volume_impulse,vwap_pressure,market_hunt_score,universal_10pct_gate,v3_market_data_source,v3_market_data_refreshed_at_utc,v3_provider_coverage,v3_analyzable_coverage,live_stage_priority,previous_state,monitor_state,state_changed,checked_at_et
HALO,110.14,FORMING,FORMING,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",58,74,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,3.26,59.3,0.64,20.24,1,True,2.5,152857623.0,106.2,97.53,80.84,103.47,111.15,68.27,111.15,61.33,109.66,111.37,RESISTANCE_BREAKOUT,BREAKOUT,0.2,,,0,,,0,False,False,105.7,EMA20,106.2,4.64,5.09,105.5,105.48,116.94,120.28,122.51,1.57,,,False,5.0,120.28,8.0,1.57,False,2.5,0.91,0.0,1462812.0,162047552.0,2.29,True,True,"Halozyme Therapeutics, Inc. - Common Stock",63.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,3 Reasons Why Growth Investors Shouldn't Overlook Halozyme Therapeutics (HALO),Zacks,2.6,COMPANY_NAME,True,FRESH_24H,LOW,4,47.0,False,70.6,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,110.14,110.14,110.14,110.88,106.82,108.89,True,109.64,106.82,True,2.38,0.0,4.04,True,103.88,115.62,,True,LIQUIDITY_PROXY,False,False,75,106.93,-1.39,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,54.5,BALANCED,58.5,41.5,92743.0,10.18,-0.002,0.84,1.15,70.6,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,2,NEW,ARMED,True,2026-09-17T12:56:01-04:00
HNGE,94.65,FORMING,FORMING,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",58,78,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,7.91,52.7,0.46,11.55,1,True,4.63,169070566.0,90.75,85.44,66.57,84.23,95.62,67.86,95.57,34.64,95.57,95.97,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,90.21,EMA20,90.75,5.44,6.0,86.29,86.29,100.77,103.65,105.57,1.33,,,False,5.0,103.65,8.0,1.33,False,2.5,1.02,0.0,1838667.0,154257521.0,4.95,True,True,"Hinge Health, Inc. Class A Common Stock",55.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,55.2,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,94.65,94.65,94.65,96.66,93.65,95.49,False,95.25,93.65,False,1.63,0.0,1.1,False,94.49,94.65,0.169,True,QUOTE,False,False,20,93.99,0.28,0.0,AVAILABLE,WAIT / ACTIVE CATALYST REQUIRED,BAR_PROXY,54.1,BALANCED,59.9,40.1,149983.0,17.4,-0.112,1.14,-0.88,55.2,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,2,NEW,ARMED,True,2026-09-17T12:56:01-04:00
EL,94.12,DISCOVER,DISCOVER,"above EMA50, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",42,48,20,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,-2.73,25.1,0.22,16.3,1,True,3.34,325049830.0,97.15,92.95,89.61,94.1,108.01,76.57,108.01,65.74,108.01,108.26,RESISTANCE_BREAKOUT,BREAKOUT,0.23,,,0,,,0,False,False,102.98,ATR_FALLBACK,103.55,4.36,4.88,94.45,94.45,113.68,116.93,119.09,1.64,,,False,5.0,116.93,8.0,1.64,False,2.5,14.76,0.0,3814916.0,322768333.0,3.26,True,True,"Estee Lauder Companies, Inc. (The) Common Stock",64.0,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,48,STRONG,NEWS,BULLISH,Can Estee Lauder's Profound Partnership Strengthen AI Visibility?,Zacks,3.7,COMPANY_NAME,True,FRESH_24H,MEDIUM,10,46.7,False,73.6,WATCHLIST + CATALYST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,94.12,94.12,94.12,98.3,94.05,94.96,False,98.3,94.86,False,1.01,0.0,1.23,False,94.23,94.32,0.095,True,QUOTE,False,False,0,96.76,1.21,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,33.6,SELLING PRESSURE,35.6,64.4,-155102.0,-22.31,-0.246,0.51,-0.88,73.6,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,INVALIDATED,True,2026-09-17T12:56:01-04:00
ZETA,30.48,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",46,66,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,6.78,51.5,0.28,7.36,0,False,4.57,193029456.0,29.96,27.22,22.17,27.11,32.81,17.77,32.81,14.36,31.05,32.92,RESISTANCE_BREAKOUT,BREAKOUT,0.34,,,0,,,0,False,False,30.95,ATR_FALLBACK,30.83,6.35,6.0,29.68,29.68,34.57,35.56,36.21,1.33,,,False,5.0,35.56,8.0,1.33,False,2.5,7.64,0.0,6358359.0,159387817.0,4.45,True,True,Zeta Global Holdings Corp. Class A Common Stock,66.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,"Zeta Global (ZETA): Buy, Sell, or Hold Post Q2 Earnings?",StockStory,53.3,COMPANY_NAME,True,FRESH_72H,LOW,5,48.0,False,72.5,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,30.48,30.48,30.48,31.5,30.47,30.97,False,31.5,30.47,False,0.95,0.0,1.08,False,30.61,30.62,0.033,True,QUOTE,False,False,0,30.6,-0.87,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,40.7,SELLING PRESSURE,37.1,62.9,-231259.0,-13.44,-0.355,1.36,-1.59,72.5,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,INVALIDATED,True,2026-09-17T12:56:01-04:00
MSTR,131.59,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, tight range, volume contraction",42,60,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,27.14,46.7,0.39,17.56,3,True,6.8,3477746277.0,126.44,119.1,151.57,108.35,144.92,81.81,144.92,81.81,197.0,145.64,RESISTANCE_BREAKOUT,BREAKOUT,0.49,,,0,,,0,False,False,136.9,ATR_FALLBACK,132.21,9.22,6.0,123.33,121.38,152.92,157.29,160.2,1.33,197.0,35.27,True,5.0,157.29,8.0,1.33,False,2.5,10.13,0.0,28565323.0,3094391834.0,6.39,True,True,Strategy Inc - Class A Common Stock,64.6,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Strategy Is Buying Bitcoin Again. Here's What That Means for the Price of Bitcoin.,Motley Fool,2.2,COMPANY_NAME,True,FRESH_24H,LOW,5,43.0,False,72.2,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,131.53,131.53,131.53,133.11,127.82,130.33,True,131.34,127.82,True,1.15,0.0,1.26,False,123.0,153.0,,True,LIQUIDITY_PROXY,False,False,50,129.94,2.13,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,44.4,BALANCED,37.1,62.9,-1262047.0,-11.91,0.001,0.58,0.92,72.2,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,INVALIDATED,True,2026-09-17T12:56:01-04:00
SMMT,17.62,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, volume contraction",40,64,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,35.31,69.0,0.46,17.33,1,True,5.65,96052384.0,16.14,15.29,16.24,12.22,18.83,12.07,18.32,12.07,29.23,18.91,RESISTANCE_BREAKOUT,BREAKOUT,0.42,,,0,,,0,False,False,17.78,ATR_FALLBACK,17.42,7.9,6.0,16.8,14.06,19.86,20.42,20.8,1.33,29.23,54.58,True,5.0,20.42,8.0,1.33,False,2.5,6.87,0.0,6156529.0,78339350.0,5.55,True,True,Summit Therapeutics Inc.  - Common Stock,62.8,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Is Summit Therapeutics (SMMT) Below Fair Value On New Ivonescimab Survival Data?,Simply Wall St.,11.2,COMPANY_NAME,True,FRESH_24H,LOW,3,33.0,False,70.4,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,17.62,17.62,17.62,18.1,17.58,17.88,False,17.87,17.58,False,0.87,0.0,0.56,False,12.56,14.55,,False,NONE,False,False,0,17.57,1.56,0.0,AVAILABLE,WAIT / QUOTE SPREAD UNAVAILABLE,BAR_PROXY,43.8,BALANCED,59.1,40.9,384642.0,14.39,-0.217,0.28,-1.44,70.4,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,INVALIDATED,True,2026-09-17T12:56:01-04:00
SIG,101.87,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance",42,60,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,20.42,74.1,0.25,23.96,1,True,4.72,98947118.0,93.01,90.25,89.46,79.01,104.75,79.01,103.49,71.34,100.41,105.13,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,98.83,ATR_FALLBACK,97.92,6.87,6.0,95.33,80.0,110.39,113.55,115.65,1.33,,,False,5.0,113.55,8.0,1.33,False,2.5,2.83,0.0,1077003.0,68891872.0,4.07,True,True,Signet Jewelers Limited Common Shares,64.1,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,Are Retail-Wholesale Stocks Lagging  Signet Jewelers (SIG) This Year?,Zacks,29.7,COMPANY_NAME,True,FRESH_72H,LOW,5,75.7,False,70.1,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,101.87,101.87,101.87,104.75,100.67,101.69,True,104.75,101.01,False,0.69,0.0,0.82,False,101.15,101.31,0.158,True,QUOTE,False,False,25,104.33,1.35,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,49.2,BALANCED,48.7,51.3,5022.0,1.89,0.185,0.5,0.18,70.1,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,ARMED,True,2026-09-17T12:56:01-04:00
SG,6.86,DISCOVER,DISCOVER,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range",52,72,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,7.84,51.3,0.34,10.31,1,True,6.39,31174381.0,6.76,6.82,7.07,6.38,7.4,5.0,9.49,4.49,10.63,7.44,RESISTANCE_BREAKOUT,BREAKOUT,0.47,,,0,,,0,False,False,6.99,ATR_FALLBACK,6.78,8.85,6.0,6.58,6.38,7.81,8.03,8.18,1.33,9.49,27.64,True,5.0,8.03,8.0,1.33,False,2.5,7.79,0.0,4783275.0,31101939.0,5.93,True,True,"Sweetgreen, Inc. Class A Common Stock",59.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,30,ACTIVE,FRESH NEWS,NEUTRAL,"Sweetgreen, Inc. (SG) Gains As Market Dips: What You Should Know",Zacks,45.3,COMPANY_NAME,True,FRESH_72H,LOW,8,50.0,False,65.7,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,6.86,6.86,6.86,7.03,6.74,6.9,False,6.96,6.74,False,1.0,0.0,0.86,False,6.84,6.85,0.146,True,QUOTE,False,False,0,6.72,2.73,0.0,AVAILABLE,WATCH / NOT ARMED,BAR_PROXY,43.3,BALANCED,45.9,54.1,-151650.0,-9.79,-0.0,0.71,-0.49,65.7,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,INVALIDATED,True,2026-09-17T12:56:01-04:00
TEAM,192.0,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",48,72,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,11.11,55.0,0.33,35.31,2,True,4.83,639867728.0,178.73,152.11,123.94,160.96,198.6,74.41,198.6,56.01,197.3,199.34,RESISTANCE_BREAKOUT,BREAKOUT,0.37,,,0,,,0,False,False,187.38,ATR_FALLBACK,185.43,6.98,6.0,174.46,174.21,209.31,215.29,219.28,1.33,,,False,5.0,215.29,8.0,1.33,False,2.5,3.44,0.0,3689964.0,657057588.0,4.81,True,True,Atlassian Corporation  - Class A Common Stock,61.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,61.5,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,192.0,192.0,192.0,195.54,185.72,193.17,False,194.78,185.72,False,0.85,0.0,0.77,False,179.39,209.0,,True,LIQUIDITY_PROXY,False,False,0,188.4,-0.99,0.0,AVAILABLE,WAIT / ACTIVE CATALYST REQUIRED,BAR_PROXY,43.1,BALANCED,52.8,47.2,-307.0,-0.03,-0.039,0.35,-0.61,61.5,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,ARMED,True,2026-09-17T12:56:01-04:00
AVAH,14.14,DISCOVER,DISCOVER,"20/50 uptrend, rising EMA50, volume contraction",40,60,35,WATCHLIST,WEAK,37.0,price<EMA20; EMA20>EMA50; EMA20 falling,8.36,55.8,0.33,24.75,1,True,3.78,46077908.0,13.44,11.86,9.32,12.39,14.71,7.76,14.54,5.93,14.0,14.75,RESISTANCE_BREAKOUT,BREAKOUT,0.29,,,0,,,0,False,False,13.87,ATR_FALLBACK,13.95,5.44,6.0,13.68,13.02,15.49,15.93,16.23,1.33,,,False,5.0,15.93,8.0,1.33,False,2.5,4.03,0.0,3263641.0,38270025.0,4.0,True,True,Aveanna Healthcare Holdings Inc. - Common Stock,59.7,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,0,NOT CHECKED,NONE,NEUTRAL,,,,NOT CHECKED,False,NOT CHECKED,NONE,0,,False,59.7,WATCHLIST,LIVE,2026-09-17,2026-09-17T12:55:00-04:00,14.14,14.14,14.14,14.36,13.8,14.1,True,14.36,13.8,False,0.92,0.0,2.24,True,10.26,17.89,,False,NONE,False,False,30,14.6,2.24,0.0,AVAILABLE,WAIT / ACTIVE CATALYST REQUIRED,BAR_PROXY,41.9,SELLING PRESSURE,40.9,59.1,-167098.0,-15.25,0.083,0.45,0.28,59.7,True,DIRECT_PROVIDER,2026-09-17T16:55:48.083779+00:00,1.0,0.98,1,NEW,ARMED,True,2026-09-17T12:56:01-04:00
