trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state,momentum_grade,superstock_grade,superstock_action,brownmoose_confluence_score,brown_b1,brown_b1_source,brown_b2,brown_b2_source,brown_invalidation,brown_t1,brown_t2,brown_t3,brown_rr_to_t1,brown_b1_distance_pct,brown_b2_distance_pct,brownmoose_state,brownmoose_grade
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,BMNR,"BitMine Immersion Technologies, Inc. Common Stock",23.6,FORMING,UNCLASSIFIED,83.6,88,70,27.98,46.1,7.9,6.7,27.12,RESISTANCE_BREAKOUT,25.49,29.29,1.33,,ACTIVE,38,14.7,2,True,23.44,21.09,24.89,18.26,26.97,12.8,26.97,12.8,26.91,28.48,29.29,29.83,,1.08,"20/50 uptrend, rising EMA50, near EMA200 pivot, tight range, bull flag/pullback, volume contraction",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",NEUTRAL / RESET,WEAK SETUP,,,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,BMNR,"BitMine Immersion Technologies, Inc. Common Stock",23.6,FORMING,UNCLASSIFIED,83.6,88,70,27.98,46.1,7.9,6.7,27.12,RESISTANCE_BREAKOUT,25.49,29.29,1.33,,ACTIVE,38,14.7,2,True,23.44,21.09,24.89,18.26,26.97,12.8,26.97,12.8,26.91,28.48,29.29,29.83,,1.08,"20/50 uptrend, rising EMA50, near EMA200 pivot, tight range, bull flag/pullback, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,MSTR,Strategy Inc - Class A Common Stock,129.6,FORMING,UNCLASSIFIED,79.0,84,60,34.66,51.4,7.37,6.38,145.68,RESISTANCE_BREAKOUT,136.94,157.34,1.33,35.22,ACTIVE,38,17.56,3,True,125.87,118.28,152.47,92.45,144.92,81.81,144.92,81.81,197.0,152.97,157.34,160.25,197.0,1.33,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",NEUTRAL / RESET,,,,,,,,,,,,,,,,,
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,MSTR,Strategy Inc - Class A Common Stock,129.6,FORMING,UNCLASSIFIED,79.0,84,60,34.66,51.4,7.37,6.38,145.68,RESISTANCE_BREAKOUT,136.94,157.34,1.33,35.22,ACTIVE,38,17.56,3,True,125.87,118.28,152.47,92.45,144.92,81.81,144.92,81.81,197.0,152.97,157.34,160.25,197.0,1.33,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",NEUTRAL / RESET,GOOD SETUP,,,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,MSTR,Strategy Inc - Class A Common Stock,129.6,FORMING,UNCLASSIFIED,79.0,84,60,34.66,51.4,7.37,6.38,145.68,RESISTANCE_BREAKOUT,136.94,157.34,1.33,35.22,ACTIVE,38,17.56,3,True,125.87,118.28,152.47,92.45,144.92,81.81,144.92,81.81,197.0,152.97,157.34,160.25,197.0,1.33,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,SG,"Sweetgreen, Inc. Class A Common Stock",6.83,FORMING,UNCLASSIFIED,77.6,84,66,18.13,48.6,6.08,5.9,7.43,RESISTANCE_BREAKOUT,6.99,8.03,1.33,27.67,ACTIVE,30,10.31,1,True,6.76,6.82,7.09,5.76,7.4,5.0,9.49,4.49,10.63,7.8,8.03,8.18,9.49,0.77,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range, bull flag/pullback",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",NEUTRAL / RESET,GOOD SETUP,,,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SG,"Sweetgreen, Inc. Class A Common Stock",6.83,FORMING,UNCLASSIFIED,77.6,84,66,18.13,48.6,6.08,5.9,7.43,RESISTANCE_BREAKOUT,6.99,8.03,1.33,27.67,ACTIVE,30,10.31,1,True,6.76,6.82,7.09,5.76,7.4,5.0,9.49,4.49,10.63,7.8,8.03,8.18,9.49,0.77,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range, bull flag/pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,SG,"Sweetgreen, Inc. Class A Common Stock",6.83,FORMING,UNCLASSIFIED,77.6,84,66,18.13,48.6,6.08,5.9,7.43,RESISTANCE_BREAKOUT,6.99,8.03,1.33,27.67,ACTIVE,30,10.31,1,True,6.76,6.82,7.09,5.76,7.4,5.0,9.49,4.49,10.63,7.8,8.03,8.18,9.49,0.77,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range, bull flag/pullback",100.0,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",NEUTRAL / RESET,,,,33.0,6.82,EMA50,6.76,EMA20,6.66,7.4,7.8,8.03,3.59,0.15,1.04,B2 READY,A PLAN
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,SRPT,"Sarepta Therapeutics, Inc. - Common Stock",20.72,FORMING,UNCLASSIFIED,76.9,84,60,15.95,57.9,7.97,6.62,23.75,RESISTANCE_BREAKOUT,22.33,23.85,0.07,0.41,ACTIVE,38,10.95,1,True,20.45,19.22,18.88,17.88,23.62,14.75,23.62,14.68,23.85,24.94,25.65,26.13,23.85,1.12,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",MOMENTUM SWEET SPOT,WEAK SETUP,,,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SRPT,"Sarepta Therapeutics, Inc. - Common Stock",20.72,FORMING,UNCLASSIFIED,76.9,84,60,15.95,57.9,7.97,6.62,23.75,RESISTANCE_BREAKOUT,22.33,23.85,0.07,0.41,ACTIVE,38,10.95,1,True,20.45,19.22,18.88,17.88,23.62,14.75,23.62,14.68,23.85,24.94,25.65,26.13,23.85,1.12,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,COIN,"Coinbase Global, Inc. - Class A Common Stock",172.11,FORMING,UNCLASSIFIED,76.6,82,64,16.3,44.0,7.14,5.9,196.83,RESISTANCE_BREAKOUT,185.02,212.58,1.33,12.96,ACTIVE,38,10.14,1,True,175.82,170.64,198.45,146.02,195.85,139.11,195.85,139.11,222.35,206.67,212.58,216.52,222.35,2.24,"above EMA50, rising EMA50, near EMA50 support, tight range, bull flag/pullback, 20d volume expansion",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",WEAK MOMENTUM,GOOD SETUP,,,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,COIN,"Coinbase Global, Inc. - Class A Common Stock",172.11,FORMING,UNCLASSIFIED,76.6,82,64,16.3,44.0,7.14,5.9,196.83,RESISTANCE_BREAKOUT,185.02,212.58,1.33,12.96,ACTIVE,38,10.14,1,True,175.82,170.64,198.45,146.02,195.85,139.11,195.85,139.11,222.35,206.67,212.58,216.52,222.35,2.24,"above EMA50, rising EMA50, near EMA50 support, tight range, bull flag/pullback, 20d volume expansion",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,VEEV,Veeva Systems Inc. Class A Common Stock,266.62,FORMING,UNCLASSIFIED,75.9,84,60,13.84,60.5,4.59,3.24,297.22,RESISTANCE_BREAKOUT,279.39,321.0,1.33,,ACTIVE,38,15.2,1,True,260.18,236.04,214.49,238.93,296.24,151.15,296.24,148.05,296.24,312.08,321.0,326.94,,1.12,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SNAP,Snap Inc. Class A Common Stock,5.83,FORMING,UNCLASSIFIED,72.3,78,60,14.53,48.0,5.4,5.4,6.07,RESISTANCE_BREAKOUT,5.7,6.36,0.8,4.78,ACTIVE,38,14.88,1,True,5.5,5.31,5.77,5.03,6.04,4.27,6.04,3.81,6.36,6.37,6.55,6.67,6.36,,"20/50 uptrend, rising EMA50, near EMA200 pivot, compressed below 20d resistance, 20d volume expansion",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,,B WATCH,MONITOR ONLY,,,,,,,,,,,,,,
High Momentum / High Beta Agent,Fast-Mover Momentum + Beta/Volatility,SBET,"Sharplink, Inc. - Common Stock",8.33,FORMING,UNCLASSIFIED,71.8,78,60,29.93,49.8,7.53,6.43,9.54,RESISTANCE_BREAKOUT,8.97,10.3,1.33,,WEAK,22,12.56,2,True,8.19,7.35,8.23,6.16,9.49,4.46,9.49,4.46,9.06,10.02,10.3,10.49,,,"20/50 uptrend, rising EMA50, near EMA200 pivot, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,"Fast-mover discovery: strong relative strength/RVOL plus high ATR/ADR; reported beta is rewarded when available, with R/R and runway used for ranking",NEUTRAL / RESET,WEAK SETUP,,,,,,,,,,,,,,,,
