module,file,last_update_utc,age_minutes,max_age_minutes,status,market_open,role,checked_at_et,expected_session,semantic_detail
Warehouse Snapshot,warehouse_snapshot.json,2026-09-21T17:36:56.312824+00:00,47.6,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
V3 Live Production,monitor_health.csv,2026-09-21T17:42:31+00:00,42.1,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
Themes,theme_health.csv,2026-09-21T17:44:06+00:00,40.5,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
Sector Rotation,sector_rotation_health.csv,2026-09-21T17:44:39+00:00,39.9,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
Momentum,momentum_health.csv,2026-09-21T17:44:40+00:00,39.9,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
Order Flow,order_flow_strategy_health.csv,2026-09-21T17:44:50+00:00,39.7,20,STALE,True,PRODUCTION,2026-09-21T14:24:34-04:00,2026-09-21,
V4 Live Intelligence,v4_worker_health.json,,,25,MISSING,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
Broad Breakout,broad_breakout_health.csv,2026-09-21T17:40:10+00:00,44.4,20,STALE,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
High Conviction Alerts,high_conviction_alert_health.csv,2026-09-18T23:53:37+00:00,3991.0,20,STALE,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
Premarket Discovery,premarket_health.csv,2026-09-17T22:58:25+00:00,5486.2,45,OK,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
Daily Pick Validation,daily_top_pick_summary.csv,2026-09-17T22:59:31.526797+00:00,5485.1,90,STALE,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
Quant Strategy Suite,quant_shadow_health.json,,,1800,MISSING,True,SHADOW,2026-09-21T14:24:34-04:00,2026-09-21,
