ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et
P,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,112.27,7.91,-0.34,6.51,0.0,87.7,2.43,110.62,111.59,True,True,112.27,110.29,1.79,117.88,121.25,57.1,59.2,40.8,19.5,0.86,1.49,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
BTBT,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,1.85,7.39,0.17,5.98,0.0,88.1,1.99,1.83,1.83,True,True,1.85,1.82,1.72,1.95,2.0,57.9,55.4,44.6,7.05,1.02,1.41,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
BMNR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,27.79,7.05,-0.07,5.64,0.0,81.5,1.84,27.49,28.06,True,False,27.79,27.4,1.41,29.18,30.01,38.2,25.0,75.0,-26.62,0.64,1.1,SELLING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
RBLX,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,51.08,6.79,0.41,5.39,0.0,85.0,1.48,50.73,51.19,True,False,51.08,50.58,0.99,53.63,55.17,47.4,50.9,49.1,-6.17,0.6,0.69,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
GDDY,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,103.69,6.45,0.41,5.04,0.0,82.6,1.54,101.82,99.31,True,True,103.69,101.52,2.14,108.87,111.99,65.6,56.5,43.5,15.88,1.12,1.83,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
DUOL,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,150.12,5.76,0.11,4.35,0.0,80.7,1.4,149.6,149.42,True,True,150.12,149.15,0.65,157.63,162.14,58.8,66.2,33.8,28.63,0.62,0.35,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
COHU,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,MOMENTUM BUY,BROAD BREAKOUT + VWAP + RVOL,60.94,5.45,0.23,4.05,0.0,80.8,1.57,59.96,59.91,True,True,60.94,59.78,1.94,63.99,65.82,62.2,41.4,58.6,-0.17,2.59,1.63,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
META,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,740.27,11.23,0.83,9.83,0.0,100.0,2.57,713.4,712.0,True,True,740.27,711.26,4.08,777.28,799.49,73.7,73.4,26.6,37.55,0.85,3.77,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
HUT,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,105.43,6.73,0.86,5.33,100.0,0.0,1.18,103.41,105.37,True,True,105.43,103.1,2.26,110.7,113.86,51.5,43.5,56.5,-6.99,0.74,1.95,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
CLSK,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,14.97,3.38,0.33,1.98,100.0,0.0,0.97,14.94,15.15,True,False,14.97,14.89,0.57,15.72,16.17,53.2,72.8,27.2,15.63,0.57,0.23,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
