ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et,order_flow_strategy_score,order_flow_strategy_signal,order_flow_setup,order_flow_strategy_reason,strategy_entry,strategy_stop,strategy_target_1,strategy_target_2,strategy_risk_pct,strategy_rr_to_t2
DOCN,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,146.2,12.42,0.31,10.86,0.0,100.0,1.94,143.69,141.84,True,True,146.2,143.26,2.06,153.51,157.9,67.7,57.5,42.5,15.63,1.84,1.75,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,69.2,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,146.2,143.26,153.51,157.9,2.05,3.98
DDOG,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,242.26,5.4,-0.06,3.84,90.4,0.0,1.11,238.83,237.04,True,True,242.26,238.12,1.74,254.37,261.64,69.3,73.8,26.2,30.88,1.88,1.43,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,64.8,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,242.26,238.12,254.37,261.64,1.74,4.68
NET,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,346.88,7.13,-0.18,5.57,90.4,0.0,1.35,342.05,338.99,True,True,346.88,341.03,1.72,364.22,374.63,59.8,64.5,35.5,21.52,1.26,1.41,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,61.4,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,346.88,341.03,364.22,374.63,1.72,4.74
RBRK,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,112.53,5.52,-0.05,3.96,95.5,0.0,1.04,111.41,112.5,True,True,112.53,111.07,1.31,118.15,121.53,63.6,65.6,34.4,19.32,1.57,1.0,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,60.9,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,112.53,111.07,118.16,121.53,1.31,6.17
LEU,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,155.71,7.15,0.24,5.59,90.2,0.0,0.94,152.96,153.4,True,True,155.71,152.5,2.1,163.5,168.17,61.9,64.2,35.8,15.16,1.13,1.8,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,60.2,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,155.71,152.5,163.5,168.17,2.1,3.88
AMAT,THEME_ROTATION,Semiconductors,MOMENTUM BUY,ROTATION + VWAP + ORB + RVOL,463.9,4.37,0.05,2.81,100.0,0.0,1.41,458.93,461.22,True,True,463.9,457.55,1.39,487.09,501.01,63.1,61.5,38.5,15.8,1.31,1.08,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,59.6,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,463.9,457.55,487.1,501.01,1.39,5.84
OKTA,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,190.97,4.83,0.34,3.27,95.5,0.0,1.08,188.81,190.41,True,True,190.97,188.24,1.45,200.52,206.25,65.5,63.4,36.6,23.68,1.11,1.14,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,59.0,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,190.97,188.24,200.52,206.25,1.45,5.6
SMR,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,8.85,7.07,0.23,5.51,90.2,0.0,0.77,8.78,8.94,True,False,8.85,8.76,1.12,9.3,9.56,60.8,60.9,39.1,8.49,1.26,0.82,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,58.8,WATCH / ACCUMULATION,ACCUMULATION,Positive pressure developing above VWAP with volume participation,8.85,8.76,9.29,9.56,1.03,7.87
META,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,749.0,12.54,0.88,10.98,0.0,100.0,2.82,718.47,712.0,True,True,749.0,716.32,4.56,786.45,808.92,72.7,71.0,29.0,35.23,1.07,4.25,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,74.5,EXTENDED / WAIT RETEST,EXTENDED BUYING PRESSURE,Strong order flow but price already extended >8%; wait for controlled retest,749.0,716.32,786.45,808.92,4.56,1.83
ARM,THEME_ROTATION,Semiconductors,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,319.12,15.73,0.27,14.17,100.0,0.0,3.35,309.89,308.8,True,True,319.12,308.96,3.29,335.08,344.66,59.3,51.8,48.2,6.29,1.05,2.98,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,74.4,NO TRADE,NONE,Order-flow conditions incomplete,319.12,308.96,335.08,344.65,3.29,2.51
QCOM,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,193.0,8.42,-0.11,6.86,100.0,0.0,1.25,187.91,183.39,True,True,193.0,187.35,3.02,202.65,208.44,71.8,74.4,25.6,29.56,1.31,2.71,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,70.4,NO TRADE,NONE,Order-flow conditions incomplete,193.0,187.35,202.65,208.44,3.02,2.73
ALAB,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,338.33,11.38,0.7,9.82,0.0,100.0,1.36,326.3,327.04,True,True,338.33,325.32,4.0,355.25,365.4,74.3,73.5,26.5,34.17,0.98,3.69,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,69.1,NO TRADE,NONE,Order-flow conditions incomplete,338.33,325.32,355.25,365.4,4.0,2.08
