ticker,company_name,exchange,prior_close,premarket_price,premarket_gap_pct,premarket_volume,premarket_dollar_volume,avg_dollar_volume20,premarket_last_bar_et,premarket_score,premarket_rank
PTRN,Pattern Group Inc. - Series A Common Stock,NASDAQ,19.97,21.5,7.66,0.0,0.0,27174207.0,2026-09-14T08:45:00-04:00,30.6,1
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ,40.51,43.5,7.38,0.0,0.0,71111182.0,2026-09-14T09:25:00-04:00,29.5,2
SWKS,"Skyworks Solutions, Inc. - Common Stock",NASDAQ,80.94,86.23,6.54,0.0,0.0,449650238.0,2026-09-14T09:25:00-04:00,26.2,3
BRUN,Boost Run Inc. - Class A Common Stock,NASDAQ,14.94,15.88,6.29,0.0,0.0,37822406.0,2026-09-14T09:25:00-04:00,25.2,4
SRRK,Scholar Rock Holding Corporation - Common Stock,NASDAQ,53.35,56.49,5.89,0.0,0.0,65697152.0,2026-09-14T09:25:00-04:00,23.6,5
DLR,"Digital Realty Trust, Inc. Common Stock",NYSE,181.46,191.76,5.68,0.0,0.0,353545069.0,2026-09-14T07:40:00-04:00,22.7,6
METC,"Ramaco Resources, Inc. - Class A Common Stock",NASDAQ,10.38,10.97,5.68,0.0,0.0,26910818.0,2026-09-14T09:25:00-04:00,22.7,7
NVT,nVent Electric plc Ordinary Shares ,NYSE,144.62,152.82,5.67,0.0,0.0,382943008.0,2026-09-14T09:10:00-04:00,22.7,8
MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",NASDAQ,245.18,258.11,5.27,0.0,0.0,325908096.0,2026-09-14T09:25:00-04:00,21.1,9
KEYS,Keysight Technologies Inc. Common Stock,NYSE,321.76,338.64,5.25,0.0,0.0,445063354.0,2026-09-14T08:45:00-04:00,21.0,10
FPS,"Forgent Power Solutions, Inc. Class A Common Stock",NYSE,28.64,30.1,5.1,0.0,0.0,165629534.0,2026-09-14T09:10:00-04:00,20.4,11
ESI,Element Solutions Inc. Common Stock,NYSE,31.88,33.5,5.08,0.0,0.0,170393727.0,2026-09-14T08:35:00-04:00,20.3,12
BW,"Babcock & Wilcox Enterprises, Inc. Common Stock",NYSE,7.09,7.45,5.08,0.0,0.0,34497957.0,2026-09-14T09:10:00-04:00,20.3,13
COHR,Coherent Corp. Common Stock,NYSE,270.23,283.94,5.07,0.0,0.0,1720797757.0,2026-09-14T09:10:00-04:00,20.3,14
CE,Celanese Corporation Common Stock,NYSE,44.96,47.23,5.05,0.0,0.0,63189841.0,2026-09-14T06:25:00-04:00,20.2,15
CVI,CVR Energy Inc. Common Stock,NYSE,49.21,51.59,4.83,0.0,0.0,43330825.0,2026-09-14T08:45:00-04:00,19.3,16
CTVA,"Corteva, Inc. Common Stock ",NYSE,82.84,86.8,4.78,0.0,0.0,386504937.0,2026-09-14T08:55:00-04:00,19.1,17
LBRT,Liberty Energy Inc. Class A common stock,NYSE,19.93,20.84,4.57,0.0,0.0,63765701.0,2026-09-14T08:40:00-04:00,18.3,18
WING,Wingstop Inc. - Common Stock,NASDAQ,112.61,117.75,4.56,0.0,0.0,118446790.0,2026-09-14T09:25:00-04:00,18.2,19
INIO,INNIO N.V. - Ordinary Shares,NASDAQ,18.45,19.29,4.55,0.0,0.0,77556344.0,2026-09-14T09:25:00-04:00,18.2,20
VERA,"Vera Therapeutics, Inc. - Class A Common Stock",NASDAQ,33.49,34.98,4.45,0.0,0.0,64066718.0,2026-09-14T09:25:00-04:00,17.8,21
PUMP,ProPetro Holding Corp. Common Stock,NYSE,10.94,11.41,4.3,0.0,0.0,33080246.0,2026-09-14T09:05:00-04:00,17.2,22
QRVO,"Qorvo, Inc. - Common Stock",NASDAQ,109.58,114.15,4.17,0.0,0.0,106489811.0,2026-09-14T09:25:00-04:00,16.7,23
RIG,Transocean Ltd (Switzerland) Common Stock,NYSE,5.53,5.76,4.16,0.0,0.0,216212695.0,2026-09-14T09:05:00-04:00,16.6,24
CEG,Constellation Energy Corporation - Common Stock When-Issued,NASDAQ,264.9,275.85,4.13,0.0,0.0,682041843.0,2026-09-14T09:25:00-04:00,16.5,25
EGO,Eldorado Gold Corporation Ordinary Shares,NYSE,40.8,42.44,4.02,0.0,0.0,117075627.0,2026-09-14T09:10:00-04:00,16.1,26
MAIR,Madison Air Solutions Corporation Class A Common Stock,NYSE,23.9,24.85,3.97,0.0,0.0,83973950.0,2026-09-14T09:00:00-04:00,15.9,27
SLB,SLB Limited Common Shares,NYSE,54.19,56.32,3.93,0.0,0.0,682732366.0,2026-09-14T09:10:00-04:00,15.7,28
INDV,"Indivior Pharmaceuticals, Inc.  - Common Stock",NASDAQ,34.4,35.75,3.92,0.0,0.0,64796376.0,2026-09-14T09:10:00-04:00,15.7,29
BWA,BorgWarner Inc. Common Stock,NYSE,63.79,66.26,3.87,0.0,0.0,111620185.0,2026-09-14T07:00:00-04:00,15.5,30
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,13.34,13.85,3.82,0.0,0.0,38529576.0,2026-09-14T08:10:00-04:00,15.3,31
U,Unity Software Inc. Common Stock,NYSE,42.99,44.62,3.8,0.0,0.0,400255360.0,2026-09-14T09:10:00-04:00,15.2,32
RAL,Ralliant Corporation Common Stock,NYSE,64.06,66.48,3.78,0.0,0.0,78048418.0,2026-09-14T09:10:00-04:00,15.1,33
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,14.95,15.51,3.75,0.0,0.0,114822610.0,2026-09-14T09:25:00-04:00,15.0,34
FLS,Flowserve Corporation Common Stock,NYSE,71.21,73.87,3.74,0.0,0.0,118481543.0,2026-09-14T07:45:00-04:00,15.0,35
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ,24.14,25.03,3.67,0.0,0.0,218054298.0,2026-09-14T09:25:00-04:00,14.7,36
JCI,Johnson Controls International plc Ordinary Share,NYSE,136.27,141.25,3.65,0.0,0.0,414268247.0,2026-09-14T08:40:00-04:00,14.6,37
RRX,Regal Rexnord Corporation Common Stock,NYSE,154.08,159.68,3.63,0.0,0.0,185434406.0,2026-09-14T07:00:00-04:00,14.5,38
FRMI,Fermi Inc. - Common Stock,NASDAQ,5.09,5.27,3.54,0.0,0.0,82784150.0,2026-09-14T09:25:00-04:00,14.2,39
RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,NASDAQ,13.89,14.38,3.53,0.0,0.0,85107886.0,2026-09-14T09:25:00-04:00,14.1,40
WMB,"Williams Companies, Inc. (The) Common Stock",NYSE,71.32,73.83,3.52,0.0,0.0,532929145.0,2026-09-14T09:10:00-04:00,14.1,41
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,NYSE,29.78,30.8,3.43,0.0,0.0,49120491.0,2026-09-14T08:25:00-04:00,13.7,42
HP,"Helmerich & Payne, Inc. Common Stock",NYSE,42.92,44.39,3.42,0.0,0.0,52377915.0,2026-09-14T08:50:00-04:00,13.7,43
INSM,Insmed Incorporated - Common Stock,NASDAQ,125.14,129.41,3.41,0.0,0.0,218871539.0,2026-09-14T09:25:00-04:00,13.6,44
CAI,"Caris Life Sciences, Inc. - Common Stock",NASDAQ,24.64,25.48,3.41,0.0,0.0,120535780.0,2026-09-14T09:20:00-04:00,13.6,45
NE,Noble Corporation plc A Ordinary Shares,NYSE,44.27,45.77,3.39,0.0,0.0,47967467.0,2026-09-14T09:10:00-04:00,13.6,46
SHAZ,"SharonAI Holdings, Inc. - Class A Common Stock",NASDAQ,52.99,54.78,3.38,0.0,0.0,99536551.0,2026-09-14T09:25:00-04:00,13.5,47
HPQ,HP Inc. Common Stock,NYSE,33.83,34.95,3.31,0.0,0.0,475176100.0,2026-09-14T09:10:00-04:00,13.2,48
VEEV,Veeva Systems Inc. Class A Common Stock,NYSE,262.46,271.12,3.3,0.0,0.0,456533696.0,2026-09-14T08:15:00-04:00,13.2,49
DHT,"DHT Holdings, Inc.",NYSE,21.71,22.4,3.18,0.0,0.0,67369398.0,2026-09-14T09:10:00-04:00,12.7,50
CWEN,"Clearway Energy, Inc. Class C Common Stock",NYSE,30.18,31.13,3.15,0.0,0.0,33431442.0,2026-09-14T08:05:00-04:00,12.6,51
BTU,Peabody Energy Corporation Common Stock ,NYSE,27.4,28.25,3.1,0.0,0.0,58064109.0,2026-09-14T09:05:00-04:00,12.4,52
SMTC,Semtech Corporation - Common Stock,NASDAQ,150.37,155.01,3.09,0.0,0.0,482328021.0,2026-09-14T09:25:00-04:00,12.4,53
FTI,TechnipFMC plc Ordinary Share,NYSE,74.52,76.75,2.99,0.0,0.0,190504606.0,2026-09-14T09:10:00-04:00,12.0,54
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,NASDAQ,6.79,6.99,2.95,0.0,0.0,69135701.0,2026-09-14T09:25:00-04:00,11.8,55
TER,"Teradyne, Inc. - Common Stock",NASDAQ,335.92,345.6,2.88,0.0,0.0,868617781.0,2026-09-14T09:25:00-04:00,11.5,56
SOLS,Solstice Advanced Materials Inc. - Common Stock,NASDAQ,58.38,60.06,2.88,0.0,0.0,186435700.0,2026-09-14T09:25:00-04:00,11.5,57
IVZ,Invesco Ltd Common Stock,NYSE,31.42,32.3,2.8,0.0,0.0,105186441.0,2026-09-14T04:00:00-04:00,11.2,58
DECK,Deckers Outdoor Corporation Common Stock,NYSE,79.35,81.5,2.71,0.0,0.0,236418148.0,2026-09-14T08:55:00-04:00,10.8,59
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ,11.44,11.74,2.62,0.0,0.0,27168562.0,2026-09-14T09:00:00-04:00,10.5,60
GLW,Corning Incorporated Common Stock,NYSE,147.27,151.11,2.61,0.0,0.0,1315051669.0,2026-09-14T09:10:00-04:00,10.4,61
PBF,PBF Energy Inc. Class A Common Stock,NYSE,75.37,77.33,2.6,0.0,0.0,188513108.0,2026-09-14T08:55:00-04:00,10.4,62
CDW,CDW Corporation - Common Stock,NASDAQ,149.77,153.64,2.58,0.0,0.0,236789081.0,2026-09-14T09:25:00-04:00,10.3,63
IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",NASDAQ,53.26,54.63,2.57,0.0,0.0,159256284.0,2026-09-14T09:25:00-04:00,10.3,64
ST,Sensata Technologies Holding plc Ordinary Shares,NYSE,41.53,42.58,2.53,0.0,0.0,58658383.0,2026-09-14T09:00:00-04:00,10.1,65
BIPC,Brookfield Infrastructure Corporation Brookfield Infrastructure Corporation,NYSE,36.09,37.0,2.52,0.0,0.0,37999471.0,2026-09-14T06:40:00-04:00,10.1,66
BBWI,"Bath & Body Works, Inc.",NYSE,17.95,18.4,2.51,0.0,0.0,127184860.0,2026-09-14T08:50:00-04:00,10.0,67
AVT,"Avnet, Inc. - Common Stock",NASDAQ,93.59,95.88,2.45,0.0,0.0,100614983.0,2026-09-14T09:25:00-04:00,9.8,68
HAL,Halliburton Company Common Stock,NYSE,35.28,36.14,2.44,0.0,0.0,373235489.0,2026-09-14T09:10:00-04:00,9.8,69
TAP,Molson Coors Beverage Company Class B Common Stock,NYSE,38.74,39.68,2.43,0.0,0.0,106807181.0,2026-09-14T08:25:00-04:00,9.7,70
MTZ,"MasTec, Inc. Common Stock",NYSE,230.04,235.5,2.37,0.0,0.0,340880357.0,2026-09-14T09:00:00-04:00,9.5,71
INGM,Ingram Micro Holding Corporation Common Stock,NYSE,26.81,27.44,2.35,0.0,0.0,45475211.0,2026-09-14T06:35:00-04:00,9.4,72
RMBS,"Rambus, Inc. - Common Stock",NASDAQ,80.88,82.76,2.32,0.0,0.0,161809173.0,2026-09-14T09:25:00-04:00,9.3,73
DELL,Dell Technologies Inc. Class C Common Stock ,NYSE,527.44,539.6,2.31,0.0,0.0,4329192263.0,2026-09-14T09:10:00-04:00,9.2,74
PTEN,"Patterson-UTI Energy, Inc. - Common Stock",NASDAQ,12.57,12.86,2.31,0.0,0.0,94159788.0,2026-09-14T09:25:00-04:00,9.2,75
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,NASDAQ,150.5,153.94,2.29,0.0,0.0,1374508868.0,2026-09-14T09:25:00-04:00,9.2,76
CLS,"Celestica, Inc. Common Stock",NYSE,319.37,326.42,2.21,0.0,0.0,665339406.0,2026-09-14T09:10:00-04:00,8.8,77
VST,Vistra Corp. Common Stock,NYSE,141.29,144.4,2.2,0.0,0.0,589124203.0,2026-09-14T09:10:00-04:00,8.8,78
WHR,Whirlpool Corporation Common Stock,NYSE,34.43,35.18,2.18,0.0,0.0,86768468.0,2026-09-14T09:10:00-04:00,8.7,79
CRK,"Comstock Resources, Inc. Common Stock",NYSE,14.68,15.0,2.18,0.0,0.0,39209466.0,2026-09-14T08:40:00-04:00,8.7,80
CLMT,"Calumet, Inc - Common Stock",NASDAQ,56.34,57.56,2.17,0.0,0.0,56528579.0,2026-09-14T09:25:00-04:00,8.7,81
KGS,"Kodiak Gas Services, Inc. Common Stock",NYSE,59.3,60.58,2.16,0.0,0.0,96344433.0,2026-09-14T07:25:00-04:00,8.6,82
ARIS,Aris Mining Corporation Common Shares,NYSE,18.48,18.88,2.16,0.0,0.0,26587017.0,2026-09-14T08:45:00-04:00,8.6,83
FMC,FMC Corporation Common Stock,NYSE,11.22,11.46,2.14,0.0,0.0,32659341.0,2026-09-14T08:05:00-04:00,8.6,84
UTI,Universal Technical Institute Inc Common Stock,NYSE,20.08,20.5,2.09,0.0,0.0,35201017.0,2026-09-14T08:55:00-04:00,8.4,85
