as_of_session,broker_execution_enabled,entry_price,entry_session,exit_price,exit_reason,exit_session,final_decision,hit_10pct,hit_15pct,hit_5pct,mae_pct,market_data_source,market_regime_state,mfe_pct,observed_at_utc,production_applied,r_multiple,reference_close,return_1d_pct,return_3d_pct,return_5d_pct,return_7d_pct,sessions_held,shadow_status,signal_id,status,stop_price,strategy,strategy_score,target_price,theme,theme_state,ticker,vote_count
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,265.63,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|BE,PENDING_ENTRY,255.0048,CROSS_SECTIONAL_MOMENTUM,86.7849,286.8804,UNCLASSIFIED,NONE,BE,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,53.95,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|EQH,PENDING_ENTRY,52.33,CROSS_SECTIONAL_MOMENTUM,85.8433,58.266,UNCLASSIFIED,NONE,EQH,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,427.71,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|HCA,PENDING_ENTRY,416.27,CROSS_SECTIONAL_MOMENTUM,85.3657,461.9268,UNCLASSIFIED,NONE,HCA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,42.02,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|HRMY,PENDING_ENTRY,40.97,CROSS_SECTIONAL_MOMENTUM,87.9913,45.3816,UNCLASSIFIED,NONE,HRMY,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,50.75,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|HTFL,PENDING_ENTRY,48.87,CROSS_SECTIONAL_MOMENTUM,85.554,54.81,UNCLASSIFIED,NONE,HTFL,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,239.62,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|ILMN,PENDING_ENTRY,232.71,CROSS_SECTIONAL_MOMENTUM,86.0153,258.7896,UNCLASSIFIED,NONE,ILMN,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,28.02,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|MLYS,PENDING_ENTRY,26.8992,CROSS_SECTIONAL_MOMENTUM,85.5322,30.2616,UNCLASSIFIED,NONE,MLYS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,177.72,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|QCOM,PENDING_ENTRY,171.0022,CROSS_SECTIONAL_MOMENTUM,95.1228,191.9376,Semiconductors,STRONG,QCOM,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,88.76,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|SWKS,PENDING_ENTRY,87.19,CROSS_SECTIONAL_MOMENTUM,87.3199,95.8608,UNCLASSIFIED,NONE,SWKS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,95.19,,,,,0,SHADOW_ONLY,2026-09-18|CROSS_SECTIONAL_MOMENTUM|UNM,PENDING_ENTRY,93.19,CROSS_SECTIONAL_MOMENTUM,86.5693,102.8052,UNCLASSIFIED,NONE,UNM,
