signal_id,as_of_session,strategy,ticker,strategy_score,reference_close,stop_price,target_price,shadow_status,market_data_source,broker_execution_enabled,production_applied,vote_count,market_regime_state,theme,theme_state,final_decision
2026-09-18|CROSS_SECTIONAL_MOMENTUM|QCOM,2026-09-18,CROSS_SECTIONAL_MOMENTUM,QCOM,95.1228,177.72,171.0022,191.9376,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,Semiconductors,STRONG,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|HRMY,2026-09-18,CROSS_SECTIONAL_MOMENTUM,HRMY,87.9913,42.02,40.97,45.3816,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|SWKS,2026-09-18,CROSS_SECTIONAL_MOMENTUM,SWKS,87.3199,88.76,87.19,95.8608,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|BE,2026-09-18,CROSS_SECTIONAL_MOMENTUM,BE,86.7849,265.63,255.0048,286.8804,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|UNM,2026-09-18,CROSS_SECTIONAL_MOMENTUM,UNM,86.5693,95.19,93.19,102.8052,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|ILMN,2026-09-18,CROSS_SECTIONAL_MOMENTUM,ILMN,86.0153,239.62,232.71,258.7896,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|EQH,2026-09-18,CROSS_SECTIONAL_MOMENTUM,EQH,85.8433,53.95,52.33,58.266,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|HTFL,2026-09-18,CROSS_SECTIONAL_MOMENTUM,HTFL,85.554,50.75,48.87,54.81,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|MLYS,2026-09-18,CROSS_SECTIONAL_MOMENTUM,MLYS,85.5322,28.02,26.8992,30.2616,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
2026-09-18|CROSS_SECTIONAL_MOMENTUM|HCA,2026-09-18,CROSS_SECTIONAL_MOMENTUM,HCA,85.3657,427.71,416.27,461.9268,SHADOW_ONLY,POSTGRESQL_DERIVED_SHADOW,False,False,,NEUTRAL,UNCLASSIFIED,NONE,WATCHLIST
