checked_at_et,ticker,from_state,to_state,live_price,entry_trigger,stop,intraday_rvol,live_vwap,opening_range_high,theme,catalyst_status
2026-09-17T12:17:08-04:00,SMTC,NEW,TRIGGERED,180.84,171.34,161.06,1.81,176.63,177.99,UNCLASSIFIED,ACTIVE
2026-09-17T12:17:08-04:00,EL,NEW,INVALIDATED,94.15,108.26,103.0,1.04,95.06,98.3,UNCLASSIFIED,STRONG
2026-09-17T12:17:08-04:00,ARE,NEW,TRIGGERED,55.84,54.84,51.55,2.41,55.6,55.62,UNCLASSIFIED,WEAK
2026-09-17T12:17:08-04:00,ZETA,NEW,INVALIDATED,30.7,32.93,30.95,0.92,31.02,31.5,UNCLASSIFIED,ACTIVE
2026-09-17T12:17:08-04:00,SG,NEW,INVALIDATED,6.84,7.43,6.99,1.11,6.9,6.96,UNCLASSIFIED,ACTIVE
2026-09-17T12:17:08-04:00,MSTR,NEW,INVALIDATED,131.04,145.69,136.95,1.15,130.24,131.34,UNCLASSIFIED,ACTIVE
2026-09-17T12:17:08-04:00,DK,NEW,TRIGGERED,81.22,79.49,74.72,0.92,80.4,81.23,UNCLASSIFIED,WEAK
2026-09-17T12:17:08-04:00,CAI,NEW,TRIGGERED,30.7,28.78,27.05,2.03,29.92,29.12,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,PSNL,NEW,INVALIDATED,16.23,18.94,17.96,3.06,16.32,16.43,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,VEEV,NEW,INVALIDATED,265.35,297.2,279.37,0.97,264.6,265.98,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,DELL,NEW,TRIGGERED,583.68,571.51,537.22,0.73,580.39,581.9,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,NOW,NEW,INVALIDATED,138.56,150.18,141.17,0.71,138.94,140.54,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,SSRM,NEW,INVALIDATED,36.55,39.57,37.19,0.96,36.51,36.94,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,WPM,NEW,INVALIDATED,151.34,164.38,154.51,0.67,151.75,152.13,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,TEM,NEW,TRIGGERED,80.02,73.31,68.91,3.56,78.62,77.71,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,CRWD,NEW,TRIGGERED,246.32,245.19,230.48,0.67,244.19,244.46,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,NTRA,NEW,TRIGGERED,360.61,352.63,334.73,1.05,357.38,356.31,UNCLASSIFIED,NOT CHECKED
2026-09-17T12:17:08-04:00,CRM,NEW,INVALIDATED,243.29,269.27,253.11,1.71,243.75,247.0,UNCLASSIFIED,NOT CHECKED
