ticker,price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,tradable,rejection_reason,name,exchange
NVDA,218.29,127706235.0,28124099988.0,24933761125.0,2.56,True,,NVIDIA Corporation - Common Stock,NASDAQ
MU,975.26,26086040.0,25145727056.0,24887521186.0,4.09,True,,"Micron Technology, Inc. - Common Stock",NASDAQ
SNDK,1633.35,12508985.0,20163368178.0,17459464711.0,5.99,True,,Sandisk Corporation - Common Stock When-Issued,NASDAQ
TSLA,365.44,39539100.0,14113162754.0,12049321627.0,3.5,True,,"Tesla, Inc.  - Common Stock",NASDAQ
AAPL,332.27,42530425.0,13497458155.0,12514616747.0,2.29,True,,Apple Inc. - Common Stock,NASDAQ
SPCX,151.21,79953730.0,11473709246.0,10746640087.0,4.58,True,,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ
META,648.03,17894880.0,10573087864.0,9536838744.0,3.0,True,,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ
AVGO,361.99,25744245.0,9444194905.0,8026585311.0,2.66,True,,Broadcom Inc. - Common Stock,NASDAQ
AMD,516.13,18016740.0,8743034099.0,7948841462.0,3.51,True,,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ
INTC,102.94,91699110.0,8732039567.0,8697596675.0,4.21,True,,Intel Corporation - Common Stock,NASDAQ
MRVL,236.1,24172525.0,5525116017.0,4777908743.0,5.25,True,,"Marvell Technology, Inc. - Common Stock",NASDAQ
MRNA,143.97,34206580.0,5164794097.0,2552054061.0,9.72,True,,"Moderna, Inc. - Common Stock",NASDAQ
PLTR,167.23,28623505.0,5043948979.0,4758662145.0,3.85,True,,Palantir Technologies Inc. - Class A Common Stock,NASDAQ
DELL,567.29,8827255.0,4319571373.0,2794750016.0,5.93,True,,Dell Technologies Inc. Class C Common Stock ,NYSE
NBIS,224.55,18058275.0,4152593870.0,3198222072.0,6.07,True,,Nebius Group N.V. - Class A Ordinary Shares,NASDAQ
ORCL,150.28,26681025.0,4017781663.0,3245058739.0,4.21,True,,Oracle Corporation Common Stock,NYSE
TSM,433.24,9254790.0,3907730862.0,3648215712.0,2.02,True,,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE
CRM,247.72,16486390.0,3901432381.0,2835074616.0,3.81,True,,"Salesforce, Inc. Common Stock",NYSE
LITE,927.03,4159880.0,3778171352.0,3490517182.0,6.76,True,,Lumentum Holdings Inc. - Common Stock,NASDAQ
MSTR,130.97,28570205.0,3520096954.0,3002326494.0,6.27,True,,Strategy Inc - Class A Common Stock,NASDAQ
AMAT,456.49,6687965.0,3208665354.0,2919404748.0,3.22,True,,"Applied Materials, Inc. - Common Stock",NASDAQ
STX,830.17,3583270.0,3097884868.0,2772253121.0,5.29,True,,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),NASDAQ
BE,275.75,12981225.0,3010703020.0,2714360736.0,6.72,True,,Bloom Energy Corporation Class A Common Stock,NYSE
LLY,1115.7,2465370.0,2928810730.0,2857622826.0,2.5,True,,Eli Lilly and Company Common Stock,NYSE
WDC,447.18,6088675.0,2867340170.0,2495779718.0,5.4,True,,Western Digital Corporation - Common Stock,NASDAQ
HOOD,112.57,22142715.0,2411043582.0,2183422990.0,5.61,True,,"Robinhood Markets, Inc. - Class A Common Stock",NASDAQ
LRCX,298.22,7608900.0,2362628289.0,2413326216.0,3.8,True,,Lam Research Corporation - Common Stock,NASDAQ
NOW,132.53,16706035.0,2235239586.0,1979945210.0,4.2,True,,"ServiceNow, Inc. Common Stock",NYSE
CRWD,206.74,10383730.0,2180604205.0,1690114675.0,5.35,True,,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ
NFLX,77.4,27139020.0,2154103432.0,2130231127.0,2.57,True,,"Netflix, Inc. - Common Stock",NASDAQ
PANW,330.65,6059610.0,2139146952.0,1890023727.0,4.62,True,,"Palo Alto Networks, Inc. - Common Stock",NASDAQ
CRWV,88.99,22916395.0,2109585814.0,1706901385.0,5.63,True,,"CoreWeave, Inc. - Class A Common Stock",NASDAQ
ASML,1698.3,1117120.0,1941570880.0,1826254781.0,2.14,True,,ASML Holding N.V. - New York Registry Shares,NASDAQ
CAT,818.57,2346830.0,1915512088.0,1884554671.0,2.56,True,,"Caterpillar, Inc. Common Stock",NYSE
GEV,957.27,1992595.0,1903388982.0,1752386205.0,3.62,True,,GE Vernova Inc. Common Stock,NYSE
UNH,379.09,4721410.0,1858379699.0,1799249729.0,2.35,True,,UnitedHealth Group Incorporated Common Stock (DE),NYSE
QCOM,181.97,10948215.0,1833094441.0,1566419782.0,3.44,True,,QUALCOMM Incorporated - Common Stock,NASDAQ
COHR,305.37,6168245.0,1827042220.0,1569014845.0,6.09,True,,Coherent Corp. Common Stock,NYSE
GS,1029.18,1771150.0,1820720432.0,1744998339.0,2.11,True,,"Goldman Sachs Group, Inc. (The) Common Stock",NYSE
SNOW,328.99,5321405.0,1763797119.0,1290664399.0,3.99,True,,Snowflake Inc. Common Stock,NYSE
IREN,43.83,42527135.0,1761953915.0,1711222184.0,6.65,True,,IREN Limited - Ordinary Shares,NASDAQ
COIN,175.26,9867550.0,1743636782.0,1500190864.0,5.42,True,,"Coinbase Global, Inc. - Class A Common Stock",NASDAQ
KLAC,180.64,9065845.0,1670339942.0,1651657973.0,3.74,True,,KLA Corporation  - Common Stock,NASDAQ
MRK,143.93,11082420.0,1647947393.0,1340487548.0,2.38,True,,"Merck & Company, Inc. Common Stock (new)",NYSE
CBRS,191.93,7763560.0,1586607508.0,1255029049.0,6.85,True,,Cerebras Systems Inc. - Class A Common Stock,NASDAQ
SMCI,40.1,40169170.0,1527764881.0,1381406677.0,5.41,True,,"Super Micro Computer, Inc. - Common Stock",NASDAQ
TXN,268.7,5426590.0,1431096769.0,1435010331.0,2.73,True,,Texas Instruments Incorporated - Common Stock,NASDAQ
APP,323.96,4552230.0,1420031615.0,1372142932.0,4.12,True,,Applovin Corporation - Class A Common Stock,NASDAQ
CRDO,162.95,7163590.0,1391308321.0,1061005029.0,6.2,True,,Credo Technology Group Holding Ltd - Ordinary Shares,NASDAQ
INTU,321.57,4004495.0,1386342750.0,1187679604.0,3.97,True,,Intuit Inc. - Common Stock,NASDAQ
GLW,166.4,8709160.0,1352016007.0,1349190342.0,4.22,True,,Corning Incorporated Common Stock,NYSE
CRCL,90.6,15031780.0,1342357239.0,1316318723.0,6.79,True,,"Circle Internet Group, Inc. Class A Common Stock",NYSE
ADI,378.78,3627770.0,1337475500.0,1240633969.0,2.59,True,,"Analog Devices, Inc. - Common Stock",NASDAQ
ADBE,252.23,4953770.0,1332406053.0,1137122930.0,3.34,True,,Adobe Inc. - Common Stock,NASDAQ
HPE,62.09,23449635.0,1283085824.0,965543272.0,5.48,True,,Hewlett Packard Enterprise Company Common Stock,NYSE
UBER,71.67,16972425.0,1281641944.0,1139559346.0,3.35,True,,"Uber Technologies, Inc. Common Stock",NYSE
GE,323.66,3691560.0,1273734645.0,1094213395.0,2.3,True,,GE Aerospace Common Stock,NYSE
VRT,257.06,4776635.0,1264611454.0,1075798553.0,4.72,True,,"Vertiv Holdings, LLC Class A Common Stock",NYSE
RDDT,157.77,7189670.0,1150562072.0,701339526.0,5.01,True,,"Reddit, Inc. Class A Common Stock",NYSE
NU,14.62,75958795.0,1129530886.0,1137960808.0,4.28,True,,Nu Holdings Ltd. Class A Ordinary Shares,NYSE
BKNG,173.92,5781600.0,1129522033.0,1040121440.0,3.15,True,,Booking Holdings Inc. - Common Stock,NASDAQ
IBM,243.29,4806425.0,1126768901.0,1080088932.0,2.48,True,,International Business Machines Corporation Common Stock,NYSE
RKLB,62.95,16460805.0,1120764141.0,1082724892.0,4.48,True,,Rocket Lab Corporation - Common Stock,NASDAQ
NKE,36.8,28931780.0,1118205293.0,1024957073.0,2.24,True,,"Nike, Inc. Common Stock",NYSE
C,138.82,8236985.0,1110368951.0,1004773115.0,2.04,True,,"Citigroup, Inc. Common Stock",NYSE
