trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state,brownmoose_confluence_score,brown_b1,brown_b1_source,brown_b2,brown_b2_source,brown_invalidation,brown_t1,brown_t2,brown_t3,brown_rr_to_t1,brown_b1_distance_pct,brown_b2_distance_pct,brownmoose_state,brownmoose_grade
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,SG,"Sweetgreen, Inc. Class A Common Stock",6.91,FORMING,UNCLASSIFIED,75.3,80,56,19.46,50.1,5.81,5.75,7.43,RESISTANCE_BREAKOUT,6.99,8.03,1.33,27.69,ACTIVE,38,10.31,1,True,6.77,6.83,7.06,5.76,7.4,5.0,9.49,4.49,10.63,7.8,8.03,8.18,9.49,1.02,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, bull flag/pullback",100.0,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",NEUTRAL / RESET,33.0,6.83,EMA50,6.77,EMA20,6.67,7.4,7.8,8.03,3.53,1.17,2.07,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,CRK,"Comstock Resources, Inc. Common Stock",14.61,DISCOVER,UNCLASSIFIED,55.2,70,50,9.85,53.8,4.95,4.26,16.18,RESISTANCE_BREAKOUT,15.21,17.47,1.33,44.89,NOT CHECKED,0,11.02,1,True,14.6,14.32,16.21,13.44,16.12,12.12,16.12,12.12,23.44,16.99,17.47,17.8,23.44,,"20/50 uptrend, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",100.0,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",NEUTRAL / RESET,33.0,14.6,EMA20,14.32,EMA50,14.11,16.12,16.99,17.47,3.07,0.07,2.03,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,MARA,"MARA Holdings, Inc. - Common Stock",11.27,DISCOVER,UNCLASSIFIED,51.5,64,46,17.92,46.0,7.22,7.73,12.54,RESISTANCE_BREAKOUT,11.78,13.54,1.33,31.07,NOT CHECKED,0,15.54,2,True,11.22,11.37,12.02,8.68,12.47,8.68,16.43,7.63,16.43,13.16,13.54,13.79,16.43,,"rising EMA50, near EMA50 support, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",NEUTRAL / RESET,33.0,11.37,EMA50,11.22,EMA20,11.05,12.47,13.16,13.54,3.46,-0.88,0.45,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,KGC,Kinross Gold Corporation Common Stock,27.97,DISCOVER,UNCLASSIFIED,35.5,52,42,3.06,24.4,4.33,3.42,33.58,RESISTANCE_BREAKOUT,31.56,36.26,1.33,12.07,NOT CHECKED,0,10.25,1,True,29.43,28.27,27.96,26.96,33.48,22.26,33.48,22.26,37.63,35.26,36.26,36.93,37.63,,"rising EMA50, near EMA50 support, near EMA200 pivot, volume contraction, low-volume pullback",83.5,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",WEAK MOMENTUM,33.0,28.27,EMA50,27.96,EMA200,27.54,33.48,35.26,36.26,7.14,-1.06,0.04,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,MRVL,"Marvell Technology, Inc. - Common Stock",222.0,DISCOVER,UNCLASSIFIED,32.7,48,42,-3.24,41.6,5.88,5.21,255.64,RESISTANCE_BREAKOUT,240.31,276.1,1.33,22.86,NOT CHECKED,0,12.8,1,True,223.6,221.18,172.83,200.62,254.6,162.9,314.09,75.18,329.8,268.43,276.1,281.21,314.09,,"above EMA50, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",82.9,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",WEAK MOMENTUM,33.0,223.6,EMA20,221.18,EMA50,217.86,254.6,268.43,276.1,5.4,-0.72,0.37,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,ABNB,"Airbnb, Inc. - Class A Common Stock",168.09,DISCOVER,UNCLASSIFIED,34.5,48,42,-4.22,24.5,2.99,2.61,193.85,RESISTANCE_BREAKOUT,185.42,209.36,1.84,,NOT CHECKED,0,17.43,1,True,175.64,167.81,145.72,165.83,193.45,135.72,193.45,121.51,193.45,203.55,209.36,213.24,,,"above EMA50, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",82.4,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",WEAK MOMENTUM,33.0,167.81,EMA50,165.83,DAILY_SUPPORT,163.34,193.45,203.55,209.36,5.74,0.17,1.36,B2 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,EGO,Eldorado Gold Corporation Ordinary Shares,40.02,DISCOVER,UNCLASSIFIED,37.7,52,42,1.42,26.5,4.92,3.74,48.45,RESISTANCE_BREAKOUT,45.54,52.32,1.33,,NOT CHECKED,0,13.14,1,True,42.33,39.18,35.18,38.49,48.29,27.04,48.29,27.04,48.29,50.87,52.32,53.29,,,"above EMA50, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",78.6,STRONG,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",WEAK MOMENTUM,33.0,39.18,EMA50,38.49,DAILY_SUPPORT,37.91,48.29,50.87,52.32,7.19,2.14,3.98,B1 READY,A PLAN
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,RBLX,Roblox Corporation Class A Common Stock,50.7,DISCOVER,UNCLASSIFIED,47.4,58,40,35.69,82.7,4.39,4.7,51.48,RESISTANCE_BREAKOUT,48.39,55.6,1.33,13.5,NOT CHECKED,0,12.73,1,True,43.54,43.97,61.96,37.2,51.3,33.88,58.43,33.88,69.91,54.05,55.6,56.63,58.43,,"above EMA50, rising EMA50, compressed below 20d resistance, volume contraction",72.8,WATCH,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",NEUTRAL / RESET,33.0,43.97,EMA50,43.54,EMA20,42.89,51.3,54.05,55.6,6.77,15.31,16.44,WATCH,B WATCH
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,BTG,B2Gold Corp Common shares (Canada),5.16,DISCOVER,UNCLASSIFIED,41.2,56,46,1.64,33.3,4.31,3.43,5.9,RESISTANCE_BREAKOUT,5.54,6.2,0.86,5.19,NOT CHECKED,0,22.98,1,True,5.3,4.93,4.65,4.95,5.88,3.56,5.88,3.56,6.2,6.19,6.37,6.49,6.2,,"above EMA50, rising EMA50, tight range, volume contraction, low-volume pullback",72.7,WATCH,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",WEAK MOMENTUM,33.0,4.95,DAILY_SUPPORT,4.65,EMA200,4.58,5.88,6.19,6.2,2.52,4.24,10.97,WATCH,B WATCH
Brownmoose Agent,B1/B2 Confluence + Retest + Multi-Target Plan,SIG,Signet Jewelers Limited Common Shares,100.97,DISCOVER,UNCLASSIFIED,51.8,60,42,19.28,70.7,4.54,3.97,103.86,RESISTANCE_BREAKOUT,97.63,112.17,1.33,,NOT CHECKED,0,23.96,1,True,91.04,89.28,89.03,79.01,103.49,79.01,103.49,71.34,100.41,109.05,112.17,114.24,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",70.6,WATCH,"Staged B1/B2 plan from clustered EMA/support references, breakout/retest structure and mapped T1/T2/T3 resistance targets",MOMENTUM SWEET SPOT,33.0,91.04,EMA20,89.28,EMA50,87.94,103.49,109.05,112.17,4.02,10.91,13.09,WATCH,B WATCH
