trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,SWKS,"Skyworks Solutions, Inc. - Common Stock",88.76,FORMING,UNCLASSIFIED,73.4,82,64,30.52,70.7,6.44,5.93,92.76,RESISTANCE_BREAKOUT,87.19,100.18,1.33,,ERROR,0,13.55,1,True,78.46,72.37,67.8,63.06,92.3,55.43,92.3,51.48,85.18,97.4,100.18,102.03,,0.53,"20/50 uptrend, rising EMA50, compressed below 20d resistance, bull flag/pullback, 20d volume expansion",97.1,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,DELL,Dell Technologies Inc. Class C Common Stock ,568.06,FORMING,UNCLASSIFIED,69.6,82,58,30.53,66.5,6.55,5.73,596.96,RESISTANCE_BREAKOUT,561.14,644.71,1.33,,ERROR,0,15.81,2,True,517.56,469.29,321.18,421.89,593.98,358.88,567.75,136.85,514.0,626.8,644.71,656.65,,,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback",95.5,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,BE,Bloom Energy Corporation Class A Common Stock,265.63,DISCOVER,UNCLASSIFIED,56.0,64,48,31.06,66.2,6.74,6.33,289.43,RESISTANCE_BREAKOUT,272.07,312.59,1.33,21.37,NOT CHECKED,0,12.29,1,True,248.87,239.36,204.92,185.93,288.0,157.33,351.28,116.5,351.28,303.9,312.59,318.38,351.28,,"20/50 uptrend, rising EMA50, bull flag/pullback, 20d volume expansion",94.2,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,COIN,"Coinbase Global, Inc. - Class A Common Stock",194.25,FORMING,UNCLASSIFIED,67.6,84,60,12.58,55.7,6.64,6.03,196.88,RESISTANCE_BREAKOUT,185.07,212.63,1.33,12.94,ERROR,0,11.66,2,True,176.53,171.47,199.01,161.18,195.85,139.11,195.85,139.11,222.35,206.73,212.63,216.57,222.35,,"20/50 uptrend, rising EMA50, near EMA200 pivot, compressed below 20d resistance, 20d volume expansion",93.5,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,MRNA,"Moderna, Inc. - Common Stock",154.04,DISCOVER,UNCLASSIFIED,52.1,64,40,15.41,61.9,6.68,7.8,162.78,RESISTANCE_BREAKOUT,153.02,175.81,1.33,8.52,NOT CHECKED,0,176.97,2,True,137.3,110.46,68.29,130.0,161.96,52.66,176.66,43.68,176.66,170.92,175.81,179.06,176.66,,"20/50 uptrend, rising EMA50, volume contraction",87.1,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,HNGE,"Hinge Health, Inc. Class A Common Stock",94.9,FORMING,UNCLASSIFIED,66.7,84,60,10.71,63.3,4.46,4.87,97.0,RESISTANCE_BREAKOUT,91.18,104.76,1.33,,ERROR,0,11.55,1,True,91.15,85.81,66.87,84.23,96.66,67.86,95.57,34.64,95.57,101.85,104.76,106.7,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, 20d volume expansion",84.4,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,CLS,"Celestica, Inc. Common Stock",332.63,DISCOVER,UNCLASSIFIED,61.3,78,54,10.01,61.0,5.7,4.78,355.48,RESISTANCE_BREAKOUT,334.15,378.99,1.1,6.61,NOT CHECKED,0,11.55,1,True,320.73,326.62,325.26,273.8,353.96,273.8,378.99,244.51,474.03,373.25,383.92,391.03,378.99,,"rising EMA50, near EMA50 support, tight range, bull flag/pullback",83.5,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,SEI,"Solaris Energy Infrastructure, Inc. Class A Common Stock",69.66,DISCOVER,UNCLASSIFIED,59.0,68,50,28.55,73.8,6.36,5.59,70.55,RESISTANCE_BREAKOUT,66.31,76.19,1.33,18.78,NOT CHECKED,0,16.29,1,True,61.22,60.87,59.19,47.72,70.19,42.59,83.8,42.59,86.02,74.07,76.19,77.6,83.8,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",82.9,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",STRONG / EXTENDED WATCH
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,SNDK,Sandisk Corporation - Common Stock When-Issued,1791.82,DISCOVER,UNCLASSIFIED,58.8,74,50,11.82,67.9,5.74,5.55,1815.61,RESISTANCE_BREAKOUT,1706.67,1960.86,1.33,29.68,NOT CHECKED,0,13.67,3,True,1599.29,1560.11,1162.92,1416.56,1807.38,998.19,2354.39,517.0,2354.39,1906.39,1960.86,1997.17,2354.39,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",80.7,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
Top-500 Swing Agent,2–7 Day Liquid Swing Ideas,HPE,Hewlett Packard Enterprise Company Common Stock,60.76,FORMING,UNCLASSIFIED,65.5,80,56,15.04,61.4,6.76,5.54,62.47,RESISTANCE_BREAKOUT,58.72,63.28,0.22,1.3,ERROR,0,12.44,1,True,55.97,52.43,39.32,45.58,62.14,40.61,63.28,20.36,63.9,65.59,67.47,68.72,63.28,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, bull flag/pullback",79.8,STRONG,"Top-500 liquid swing candidate ranked on trend/structure, relative strength, volatility, R/R, resistance runway, catalyst and risk",MOMENTUM SWEET SPOT
