trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state,venu_mode,venu_trend_stack,venu_theme_leadership,venu_fundamental_proxy_score,venu_grade
Venu Agent,Position Leader + Rotation Swing,NOG,"Northern Oil and Gas, Inc. Common Stock",26.58,FORMING,Energy,70.5,76,58,10.46,41.5,3.14,3.0,27.42,RESISTANCE_BREAKOUT,26.01,29.61,1.56,9.4,HISTORICAL / CONTEXT,20,8.75,0,False,25.54,23.96,23.24,24.42,27.35,17.18,27.35,17.18,29.99,28.79,29.61,30.16,29.99,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",91.2,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",WEAK MOMENTUM,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,20,A LEADER
Venu Agent,Position Leader + Rotation Swing,PR,Permian Resources Corporation Class A Common Stock,23.78,FORMING,Energy,75.3,76,76,14.45,50.4,2.58,2.45,24.25,RESISTANCE_BREAKOUT,23.09,26.19,1.67,,HISTORICAL / CONTEXT,20,5.36,0,False,23.07,21.89,19.02,21.2,24.2,17.9,24.09,17.8,24.09,25.46,26.19,26.67,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, bull flag/pullback, volume contraction, runway unknown",89.1,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",NEUTRAL / RESET,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,20,A LEADER
Venu Agent,Position Leader + Rotation Swing,SGHC,Super Group (SGHC) Limited Ordinary Shares,13.84,FORMING,UNCLASSIFIED,75.8,86,66,7.48,59.9,3.18,2.96,14.36,RESISTANCE_BREAKOUT,13.67,15.51,1.65,10.44,ACTIVE,30,5.11,0,False,13.74,13.7,12.76,12.78,14.32,12.74,15.86,9.95,15.86,15.08,15.51,15.8,15.86,,"20/50 uptrend, rising EMA50, near EMA50 support, compressed below 20d resistance, tight range",86.7,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",MOMENTUM SWEET SPOT,ROTATION SWING,EMA20>EMA50>EMA200,MIXED,30,A LEADER
Venu Agent,Position Leader + Rotation Swing,RRC,Range Resources Corporation Common Stock,41.15,FORMING,Energy,79.9,88,68,5.1,52.3,2.47,2.38,43.04,RESISTANCE_BREAKOUT,40.97,46.48,1.66,11.69,HISTORICAL / CONTEXT,20,5.25,0,False,41.15,40.15,39.04,38.88,42.96,34.79,42.96,34.79,48.07,45.19,46.48,47.34,48.07,0.99,"20/50 uptrend, rising EMA50, near EMA50 support, tight range, volume contraction, low-volume pullback",85.5,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",NEUTRAL / RESET,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,20,A LEADER
Venu Agent,Position Leader + Rotation Swing,APA,APA Corporation - Common Stock,44.73,FORMING,Energy,74.2,80,56,13.57,56.6,3.22,3.02,46.22,RESISTANCE_BREAKOUT,43.8,49.91,1.53,,HISTORICAL / CONTEXT,20,9.01,0,False,42.74,40.12,34.44,40.05,46.1,31.55,45.13,29.78,45.05,48.53,49.91,50.84,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, bull flag/pullback",85.1,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",MOMENTUM SWEET SPOT,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,20,A LEADER
Venu Agent,Position Leader + Rotation Swing,NOV,NOV Inc. Common Stock,21.1,FORMING,Oil Services,76.1,86,70,4.41,61.3,3.25,3.18,21.89,RESISTANCE_BREAKOUT,20.77,23.64,1.56,,ACTIVE,30,5.34,0,False,20.89,20.37,18.65,19.34,21.84,17.66,21.77,17.59,21.59,22.99,23.64,24.08,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",84.3,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",MOMENTUM SWEET SPOT,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,30,A LEADER
Venu Agent,Position Leader + Rotation Swing,EXEL,"Exelixis, Inc. - Common Stock",56.12,FORMING,Biotechnology,76.7,86,62,12.63,57.3,2.89,2.7,59.85,RESISTANCE_BREAKOUT,56.66,64.64,1.5,,ACTIVE,30,4.12,0,False,56.22,54.82,49.17,50.02,59.72,49.97,59.72,39.71,57.57,62.84,64.64,65.83,,,"above EMA50, rising EMA50, near EMA50 support, bull flag/pullback, 20d volume expansion",81.7,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",MOMENTUM SWEET SPOT,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,30,A LEADER
Venu Agent,Position Leader + Rotation Swing,HALO,"Halozyme Therapeutics, Inc. - Common Stock",107.2,FORMING,Biotechnology,66.0,76,62,8.23,46.7,2.31,2.45,111.35,RESISTANCE_BREAKOUT,105.62,120.26,1.56,,HISTORICAL / CONTEXT,20,20.24,1,True,105.16,95.67,79.82,98.13,111.15,67.02,111.15,61.33,109.66,116.92,120.26,122.48,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction, low-volume pullback",81.4,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",NEUTRAL / RESET,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,20,A LEADER
Venu Agent,Position Leader + Rotation Swing,MGY,Magnolia Oil & Gas Corporation Class A Common Stock,27.75,FORMING,Energy,64.9,74,60,9.06,46.6,2.92,2.46,28.44,RESISTANCE_BREAKOUT,26.88,30.72,1.45,13.68,NOT CHECKED,0,4.46,0,False,27.02,26.65,26.21,25.84,28.38,23.23,28.38,23.23,32.33,29.87,30.72,31.29,32.33,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",80.2,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",NEUTRAL / RESET,ROTATION SWING,EMA20>EMA50>EMA200,LEADING/STRONG,0,A LEADER
Venu Agent,Position Leader + Rotation Swing,HESM,Hess Midstream LP Class A Representing Limited Partner Interests,39.97,FORMING,UNCLASSIFIED,77.1,92,76,2.22,58.5,2.08,2.09,41.39,RESISTANCE_BREAKOUT,39.82,44.7,2.11,,HISTORICAL / CONTEXT,20,2.66,0,False,39.97,39.43,37.36,38.57,41.32,35.15,40.97,35.05,40.97,43.46,44.7,45.53,,,"20/50 uptrend, rising EMA50, near EMA50 support, compressed below 20d resistance, tight range, volume contraction",80.1,STRONG,"Research-driven leader framework: theme leadership, catalyst/fundamental proxy, relative strength, trend alignment and constructive pullback/breakout timing",MOMENTUM SWEET SPOT,ROTATION SWING,EMA20>EMA50>EMA200,MIXED,20,A LEADER
