theme,etf,theme_score,theme_state,ret5_pct,ret20_pct,ret60_pct,rel5_vs_spy,rel20_vs_spy,rel60_vs_spy,theme_rank,live_change_pct,live_rel_vs_spy_pct,live_bar_at_et,live_theme_score,theme_state_live
Genomics,ARKG,100.0,LEADING,13.68,8.09,43.27,13.06,8.93,39.31,1,6.52,5.47,2026-09-17T16:26:30-04:00,100.0,LEADING
Cloud Computing,SKYY,99.4,LEADING,4.97,2.0,27.08,4.34,2.84,23.12,2,1.54,0.49,2026-09-17T16:15:00-04:00,82.8,LEADING
Cybersecurity,HACK,100.0,LEADING,9.03,7.29,25.55,8.4,8.13,21.6,3,0.85,-0.2,2026-09-17T16:10:04-04:00,79.9,LEADING
Gold Miners,GDX,77.7,NEUTRAL,-0.11,-1.45,23.51,-0.74,-0.61,19.56,4,3.2,2.15,2026-09-17T16:24:07-04:00,77.8,LEADING
Cannabis,MSOS,89.9,LEADING,2.69,4.2,10.22,2.06,5.04,6.27,5,1.63,0.57,2026-09-17T16:20:43-04:00,77.5,LEADING
Energy,XLE,78.4,LEADING,-0.71,1.4,18.38,-1.34,2.24,14.42,6,0.88,-0.18,2026-09-17T16:25:00-04:00,67.0,STRONG
Semiconductors,SMH,60.6,STRONG,0.06,-0.06,-9.88,-0.57,0.78,-13.83,7,2.72,1.67,2026-09-17T16:25:00-04:00,65.2,STRONG
Biotechnology,XBI,59.4,NEUTRAL,0.91,-6.66,7.63,0.28,-5.82,3.68,8,2.5,1.45,2026-09-17T16:25:21-04:00,63.4,STRONG
Crypto & Digital Infrastructure,WGMI,59.3,NEUTRAL,1.36,2.3,-34.91,0.73,3.14,-38.87,9,2.24,1.19,2026-09-17T16:20:12-04:00,62.1,STRONG
Copper & Mining,COPX,57.6,NEUTRAL,-2.26,-1.89,9.34,-2.89,-1.05,5.39,10,2.21,1.16,2026-09-17T16:10:04-04:00,61.0,STRONG
Clean Energy,ICLN,48.7,WEAK,-0.51,-0.56,-14.22,-1.13,0.28,-18.18,11,2.37,1.32,2026-09-17T16:15:09-04:00,56.4,NEUTRAL
Fintech,FINX,53.7,NEUTRAL,-1.61,-4.74,4.73,-2.24,-3.9,0.77,12,0.87,-0.18,2026-09-17T16:15:00-04:00,52.2,NEUTRAL
AI & Robotics,BOTZ,44.4,WEAK,1.02,-3.48,-4.11,0.39,-2.64,-8.07,13,1.32,0.27,2026-09-17T16:21:33-04:00,48.8,WEAK
Uranium & Nuclear,URA,22.5,WEAK,-5.16,-5.18,-6.36,-5.78,-4.34,-10.32,14,3.46,2.41,2026-09-17T16:10:00-04:00,45.9,WEAK
Oil Services,OIH,45.0,WEAK,-4.67,-4.32,4.18,-5.3,-3.48,0.23,15,0.22,-0.84,2026-09-17T16:10:04-04:00,43.8,WEAK
Regional Banks,KRE,46.9,WEAK,-1.45,-3.01,-0.52,-2.08,-2.17,-4.48,16,-0.19,-1.24,2026-09-17T16:10:04-04:00,43.0,WEAK
Infrastructure,PAVE,40.3,WEAK,-0.84,-6.82,-8.32,-1.47,-5.98,-12.27,17,0.3,-0.75,2026-09-17T16:10:04-04:00,41.4,WEAK
Homebuilders,XHB,37.4,WEAK,0.17,-10.31,-10.29,-0.46,-9.47,-14.24,18,0.27,-0.78,2026-09-17T16:10:00-04:00,39.5,WEAK
Defense & Aerospace,ITA,19.5,WEAK,-1.92,-13.01,-9.24,-2.55,-12.17,-13.2,19,-0.65,-1.7,2026-09-17T16:10:04-04:00,24.4,WEAK
