ticker,source,theme,theme_rotation_score,rotation_leader_score,rotation_leader,broad_breakout_score,last,day_change_pct,move_30m_pct,intraday_volume,rel_vs_spy_pct,broad_rvol,last_bar_et,v3_discovery_source,v3_discovered_at_utc
META,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,100.0,True,100.0,740.27,11.23,0.83,26560408.0,9.83,2.37,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
USAR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,93.5,True,93.5,16.88,9.68,-0.53,11334469.0,8.28,1.69,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
AMD,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,89.0,True,89.0,607.46,8.51,-0.21,29054773.0,7.11,1.83,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
BTBT,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,88.1,True,88.1,1.85,7.39,0.17,28693599.0,5.98,1.67,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
P,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,87.7,True,87.7,112.27,7.91,-0.34,3006703.0,6.51,2.12,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
RBLX,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,85.0,True,85.0,51.08,6.79,0.41,4607469.0,5.39,1.59,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
GDDY,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,82.6,True,82.6,103.69,6.45,0.41,814369.0,5.04,1.42,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
BMNR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,81.5,True,81.5,27.79,7.05,-0.07,49460140.0,5.64,1.67,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
COHU,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,80.8,True,80.8,60.94,5.45,0.23,640381.0,4.05,1.96,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
DUOL,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,80.7,True,80.7,150.12,5.76,0.11,560768.0,4.35,1.67,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
NET,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,77.9,True,77.9,345.46,6.69,-0.33,2092062.0,5.29,1.25,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
BB,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,77.0,True,77.0,8.42,5.34,0.03,8015522.0,3.94,1.28,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
MP,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,76.9,True,76.9,50.32,6.41,-0.49,3215579.0,5.0,1.32,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
SG,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,76.0,True,76.0,7.57,4.85,0.33,2696058.0,3.44,1.54,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
AUR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,75.8,True,75.8,6.53,3.65,0.24,26644593.0,2.24,2.57,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
TTAN,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,74.9,True,74.9,57.7,4.79,0.24,3202204.0,3.38,1.38,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
WIX,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,73.8,True,73.8,82.08,4.61,0.31,350235.0,3.2,1.32,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
GLXY,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,0.0,73.0,True,73.0,26.02,5.37,0.0,3452367.0,3.96,1.48,2026-09-21T13:35:00-04:00,POSTGRES_WAREHOUSE_DISCOVERY,2026-09-21T17:41:30.906771+00:00
