signal_id,ticker,previous_state,current_state,event_id,observed_at_utc,live_price,entry_trigger,stop,effective_target,intraday_rvol,market_hunt_score
CRM|269.2600|253.1000,CRM,NEW,WATCH,e647da70460b0d6dedcc0842,2026-09-14T20:00:00+00:00,259.15,269.26,253.1,290.8,1.44,100.0
TEAM|199.4000|187.4300,TEAM,NEW,WATCH,c98bd8dec965d20cd8878329,2026-09-14T20:00:00+00:00,192.2,199.4,187.43,215.35,1.45,92.3
COIN|196.7800|184.9700,COIN,NEW,WATCH,09076515c177710d665e26bc,2026-09-14T20:00:00+00:00,191.11,196.78,184.97,212.52,2.16,94.9
MSTR|145.6800|136.9400,MSTR,NEW,WATCH,dd95936baab8d680ec9bd491,2026-09-14T20:00:00+00:00,136.65,145.68,136.94,157.33,1.0,92.8
NOW|150.1700|141.1600,NOW,NEW,WATCH,80fb0675f95ab049d87a7961,2026-09-14T20:00:00+00:00,142.29,150.17,141.16,162.18,1.53,87.0
MRNA|177.5800|166.9200,MRNA,NEW,WATCH,d47627122b52eb0114f3ad9b,2026-09-14T20:00:00+00:00,146.5,177.58,166.92,191.79,0.94,83.2
CRCL|103.8400|97.6100,CRCL,NEW,WATCH,2f535241a2299952299be3a3,2026-09-14T20:00:00+00:00,97.72,103.84,97.61,112.15,1.78,83.5
ANF|155.9500|146.5900,ANF,NEW,WATCH,23b7ba09ff19ded31476c5c6,2026-09-14T20:00:00+00:00,140.62,155.95,146.59,168.43,0.85,81.5
HALO|111.3500|105.6300,HALO,NEW,WATCH,a49ffb4a54acbb344f9a5de7,2026-09-14T20:00:00+00:00,107.94,111.35,105.63,120.25,0.81,80.5
CAI|28.4200|26.7200,CAI,NEW,WATCH,2f7be9c0bae3d2abae81c304,2026-09-14T20:00:00+00:00,26.05,28.42,26.72,30.7,1.39,72.3
AMLX|41.2800|38.8100,AMLX,NEW,WATCH,4d3a73fe68e1aec268bbdf15,2026-09-14T20:00:00+00:00,33.64,41.28,38.81,44.59,1.16,71.4
TEM|73.3100|68.9100,TEM,NEW,WATCH,835c20cf7f97d7a54f39c2d5,2026-09-14T20:00:00+00:00,62.02,73.31,68.91,79.17,0.92,71.8
SNAP|6.0700|5.7000,SNAP,NEW,WATCH,9bcbe7690578bd047363a64a,2026-09-14T20:00:00+00:00,5.83,6.07,5.7,6.36,0.87,69.6
DOCU|70.6300|66.3900,DOCU,NEW,WATCH,07e901c61f32c1575a018f52,2026-09-14T20:00:00+00:00,69.59,70.63,66.39,76.28,1.17,70.6
NTRA|343.9600|323.3300,NTRA,NEW,WATCH,305555663ec523b85df6357c,2026-09-14T20:00:00+00:00,341.79,343.96,323.33,371.48,1.34,69.6
PSNL|18.9400|17.9100,PSNL,NEW,WATCH,83421f71180bf6fe6992e042,2026-09-14T20:00:00+00:00,16.29,18.94,17.91,20.45,0.76,70.4
ARE|54.8400|52.0700,ARE,NEW,WATCH,6b4af349423ff47d4790fb25,2026-09-14T20:00:00+00:00,51.96,54.84,52.07,55.74,1.51,70.8
IOVA|9.4000|8.8300,IOVA,NEW,DISCOVER,9139daa0e477f53615d3f99a,2026-09-14T20:00:00+00:00,9.25,9.4,8.83,10.15,1.21,61.2
HOOD|125.7700|118.2200,HOOD,NEW,DISCOVER,782eaa2765396c450d3dac56,2026-09-14T20:00:00+00:00,114.0,125.77,118.22,135.83,0.93,62.8
BMNR|27.1200|25.4900,BMNR,NEW,DISCOVER,003ba4fc75027e5d8296419a,2026-09-14T20:00:00+00:00,25.7,27.12,25.49,29.29,1.09,62.8
NVAX|10.8000|10.1500,NVAX,NEW,DISCOVER,d0534114fa955b584b8d4dc8,2026-09-14T20:00:00+00:00,9.59,10.8,10.15,11.61,0.56,62.6
MARA|12.5400|11.7900,MARA,NEW,DISCOVER,d083121672635b955a8286d6,2026-09-14T20:00:00+00:00,11.5,12.54,11.79,13.54,1.3,61.2
SRPT|23.7500|22.3300,SRPT,NEW,DISCOVER,4272e73946b954cc0362ee58,2026-09-14T20:00:00+00:00,20.92,23.75,22.33,23.85,0.81,61.7
HTFL|51.9700|48.8500,HTFL,NEW,DISCOVER,88bc3ce0f571c3ccf932e18c,2026-09-14T20:00:00+00:00,49.54,51.97,48.85,56.13,1.03,56.2
EL|108.2600|103.0800,EL,NEW,DISCOVER,cebab7d2ea7486f5f48e9e0d,2026-09-14T20:00:00+00:00,98.25,108.26,103.08,116.92,0.66,59.6
UMC|22.7900|21.4200,UMC,NEW,DISCOVER,b928eb850c8d37439114be4d,2026-09-14T20:00:00+00:00,21.9,22.79,21.42,24.62,1.37,59.7
VEEV|297.1700|279.3400,VEEV,NEW,DISCOVER,4ed0590b7afb3ef29491f551,2026-09-14T20:00:00+00:00,265.67,297.17,279.34,320.94,1.47,58.2
AVAH|14.5800|13.7100,AVAH,NEW,DISCOVER,b0f102d27fc1665c301d4628,2026-09-14T20:00:00+00:00,14.38,14.58,13.71,15.75,0.82,55.8
DXYZ|36.2300|34.0600,DXYZ,NEW,WATCH,044f61de3b1c8da850babec4,2026-09-14T20:00:00+00:00,31.57,36.23,34.06,39.13,1.25,54.0
PTEN|13.4400|12.6300,PTEN,NEW,DISCOVER,3ed68f83c2fd73d3d3c4105c,2026-09-14T20:00:00+00:00,12.42,13.44,12.63,14.51,1.16,58.5
